iter	RMSE
0	551.8502281
1	537.4366484
2	523.6332217
3	511.0422831
4	497.9036962
5	485.4833572
6	475.5840974
7	466.5689837
8	456.1743921
9	445.6323842
10	438.4980278
11	430.3647893
12	422.0098553
13	414.8802143
14	407.6541488
15	399.1061436
16	392.5274888
17	386.7120978
18	381.1808043
19	375.491752
20	369.0686545
21	362.408805
22	357.0759032
23	351.7548506
24	345.9941742
25	341.3715871
26	337.1124859
27	332.8410751
28	328.497217
29	324.1701573
30	319.5010997
31	316.1742435
32	312.4665243
33	310.4208636
34	306.600388
35	303.1344861
36	300.3369628
37	297.7374222
38	294.0191566
39	292.6839939
40	290.5275732
41	288.2729655
42	286.7808431
43	284.0594912
44	281.498811
45	279.0587748
46	277.992933
47	275.3679911
48	272.6754924
49	271.2482306
50	269.9654128
51	268.1903787
52	266.2287977
53	264.2468212
54	262.5868766
55	260.9455872
56	259.313451
57	257.5914273
58	255.9784487
59	254.4067228
60	253.2531519
61	251.6231077
62	250.136716
63	249.4622292
64	248.2340216
65	247.4027221
66	246.0373076
67	243.6936296
68	243.0295764
69	241.857618
70	240.6035302
71	239.7002444
72	238.6640387
73	236.5852717
74	235.1178082
75	233.504587
76	232.9661465
77	231.9027732
78	230.8670292
79	229.0835439
80	227.6509138
81	226.9467721
82	225.3180657
83	224.5391291
84	223.5632422
85	222.6492497
86	221.9126647
87	220.8718125
88	219.9099759
89	218.5521312
90	218.0082175
91	217.2456908
92	216.8293437
93	215.8376917
94	215.3181493
95	214.2770854
96	213.253272
97	212.8222462
98	211.90344
99	211.3634709
100	210.6633699
101	209.8080205
102	209.183035
103	208.4934718
104	208.1352933
105	207.6321038
106	206.4555844
107	205.4331494
108	204.8357375
109	204.5211361
110	204.0139596
111	202.9380599
112	202.4452794
113	201.6635415
114	201.3488705
115	200.7686156
116	200.3960187
117	199.7176273
118	198.7425329
119	198.3712676
120	197.4121302
121	197.0746026
122	196.2495839
123	195.630997
124	195.0952595
125	194.2608304
126	194.0413294
127	193.5530008
128	192.9326012
129	192.5443565
130	191.7537377
131	191.279756
132	190.9427412
133	190.4545537
134	190.2638303
135	189.5235558
136	189.1153582
137	188.7568849
138	188.1428186
139	187.8797044
140	187.5621885
141	187.1792827
142	186.9269434
143	186.1386937
144	185.6797844
145	184.8811122
146	183.9580412
147	183.6093874
148	183.3306879
149	183.0594996
150	182.610119
151	181.9756385
152	181.802105
153	181.5150042
154	180.9671542
155	180.7997098
156	180.2807117
157	180.0366477
158	179.3059995
159	178.5279179
160	177.972016
161	177.6381989
162	177.204308
163	176.5269923
164	176.2632491
165	176.0851562
166	175.6953828
167	175.4955799
168	174.9423318
169	174.4014514
170	174.0036369
171	173.5043568
172	173.3444738
173	172.9571809
174	172.6446826
175	172.4005242
176	171.9847639
177	171.8464883
178	171.4635274
179	171.1769143
180	170.9219429
181	170.6575933
182	170.3086964
183	169.7405731
184	169.4200835
185	169.2957374
186	168.8974404
187	168.5677431
188	168.2577703
189	167.7821988
190	167.3633555
191	167.0471563
192	166.41007
193	166.2592305
194	166.0129957
195	165.6553484
196	165.2996535
197	165.0545094
198	164.8454664
199	164.2953365
200	163.9713155
201	163.6984554
202	163.4481614
203	163.1911072
204	162.9004678
205	162.7440622
206	162.4337315
207	162.1136914
208	161.62876
209	161.3600983
210	161.1081484
211	160.9878369
212	160.4261424
213	160.1208108
214	160.0266375
215	159.4210314
216	159.1759275
217	158.9289323
218	158.653983
219	158.3409179
220	158.2310801
221	157.9606498
222	157.7627587
223	157.4651999
224	156.9832064
225	156.8933353
226	156.68744
227	156.1265618
228	155.8719091
229	155.5052816
230	155.4239789
231	155.1756304
232	154.9040416
233	154.7664607
234	154.6908707
235	154.4637668
236	154.2630256
237	154.188852
238	154.1169846
239	153.8690385
240	153.5269131
241	153.3786925
242	153.2512353
243	153.1523804
244	152.7343535
245	152.6677616
246	152.6031901
247	152.3388957
248	152.0947206
249	151.8839745
250	151.7907058
251	151.5367077
252	151.4746469
253	151.2722399
254	150.98948
255	150.6302747
256	150.2772289
257	150.1015578
258	149.9096609
259	149.8325536
260	149.6157492
261	149.4473916
262	149.2793653
263	149.0557835
264	148.7762129
265	148.6298001
266	148.5269234
267	148.3489399
268	148.1739029
269	147.9159929
270	147.6213498
271	147.4301321
272	147.1463139
273	146.9781836
274	146.6421255
275	146.5354331
276	146.2190163
277	146.1658633
278	146.0001563
279	145.9427479
280	145.6210063
281	145.5475341
282	145.4998333
283	145.2970159
284	145.1247935
285	144.6887753
286	144.5248104
287	144.3830085
288	144.2232482
289	144.0275341
290	143.9030035
291	143.714841
292	143.6344555
293	143.4923122
294	143.3687037
295	143.2262934
296	143.1656959
297	143.0086982
298	142.7515156
299	142.5596662
300	142.0761322
301	141.9576303
302	141.8288903
303	141.5228853
304	141.4286536
305	141.2978962
306	141.149745
307	140.9366435
308	140.6783854
309	140.5015116
310	140.2909683
311	140.1791698
312	139.9642265
313	139.7727293
314	139.5222444
315	139.365705
316	139.0456167
317	138.8879426
318	138.3321337
319	138.2493059
320	137.8974773
321	137.7898908
322	137.5893915
323	137.4564394
324	137.1039196
325	136.9793775
326	136.7867098
327	136.5289267
328	136.3155844
329	136.2415305
330	136.0752586
331	135.8450512
332	135.3499882
333	135.1384744
334	134.993262
335	134.8237285
336	134.3642941
337	134.170342
338	134.0007545
339	133.8831879
340	133.7819527
341	133.6740175
342	133.5202903
343	133.3464805
344	133.1801439
345	133.0863174
346	132.7166771
347	132.2607267
348	132.0584289
349	131.8600413
350	131.6851394
351	131.5734594
352	131.4345823
353	131.2521865
354	131.1532758
355	130.9208509
356	130.5891546
357	130.3608995
358	130.1845069
359	130.025213
360	129.9571084
361	129.7992408
362	129.5956852
363	129.3548506
364	129.0638174
365	128.767128
366	128.6486276
367	128.5850319
368	128.4298166
369	128.2098665
370	127.9735249
371	127.8325365
372	127.6385173
373	127.3950733
