iter	Passed	Remaining
0	2	2349
1	4	2145
2	6	2154
3	8	2147
4	10	2129
5	12	2111
6	14	2051
7	16	2050
8	18	2071
9	21	2099
10	23	2097
11	25	2077
12	27	2072
13	29	2066
14	31	2061
15	33	2047
16	35	2049
17	37	2042
18	39	2034
19	41	2031
20	43	2026
21	45	2019
22	47	2025
23	49	2026
24	51	2022
25	54	2033
26	56	2041
27	58	2036
28	60	2029
29	62	2023
30	64	2026
31	66	2020
32	68	2019
33	71	2018
34	73	2012
35	74	2006
36	76	2001
37	79	2004
38	81	1998
39	82	1990
40	84	1982
41	86	1974
42	88	1968
43	90	1961
44	92	1954
45	94	1949
46	95	1943
47	97	1937
48	99	1931
49	101	1926
50	103	1921
51	105	1915
52	106	1910
53	109	1915
54	111	1922
55	114	1923
56	116	1923
57	118	1923
58	120	1921
59	122	1924
60	124	1923
61	127	1921
62	129	1923
63	132	1933
64	134	1936
65	137	1939
66	139	1938
67	141	1933
68	143	1931
69	145	1927
70	147	1924
71	149	1921
72	151	1918
73	152	1913
74	154	1909
75	156	1904
76	158	1899
77	160	1895
78	162	1891
79	164	1886
80	165	1881
81	167	1877
82	169	1874
83	171	1869
84	173	1864
85	175	1860
86	176	1856
87	178	1852
88	180	1849
89	182	1845
90	184	1841
91	186	1838
92	188	1834
93	189	1830
94	191	1826
95	193	1822
96	195	1819
97	197	1816
98	199	1813
99	201	1809
100	202	1805
101	204	1802
102	206	1799
103	208	1795
104	210	1792
105	212	1788
106	213	1784
107	215	1782
108	217	1779
109	219	1775
110	221	1772
111	223	1770
112	225	1766
113	226	1763
114	228	1760
115	230	1758
116	232	1754
117	234	1751
118	236	1748
119	238	1745
120	239	1742
121	241	1739
122	243	1736
123	245	1733
124	247	1731
125	249	1727
126	250	1724
127	252	1721
128	254	1718
129	256	1715
130	258	1713
131	260	1710
132	261	1707
133	263	1705
134	265	1702
135	267	1700
136	269	1697
137	271	1694
138	273	1692
139	275	1690
140	277	1687
141	278	1685
142	280	1682
143	282	1679
144	284	1676
145	286	1674
